app_year,companyno,companyname,scompanyno,controlno,city,town,companyaddr,ccksicco1,sicname1,co2,ch4,n2o,hfcs,pfcs,sf6,nf3,tot2,tot,cause,check_yn,cityno,townno
111,05007903,金車股份有限公司中壢廠,0002,H4302523,桃園市,中壢區,桃園市中壢區仁美里榮民南路四一二號,0899,未分類其他食品製造業,14445.7144,1007.9425,9.8042,98.3394,0.0000,0.0000,0.00,15585.9579,31147.758,依法申報,是,,
111,04748660,聯成化學科技股份有限公司林園廠,0001,S1900612,高雄市,林園區,溪州里工業二路3號,1820,石油化工原料製造業,40423.5497,519.4400,4.7978,1.1440,0.0000,0.0000,0.00,14702.9850,55651.917,依法申報,是,,
111,04401392,華通電腦股份有限公司大園廠,0004,H4703600,桃園市,大園區,桃園市大園區中山北路275號,2630,印刷電路板製造業,39.1421,228.4600,0.7450,111.7200,0.0000,0.0000,0.00,54247.8064,54627.874,依法申報,是,,
111,04401392,華通電腦股份有限公司三廠,0003,H4601272,桃園市,蘆竹區,新莊里大新路九三八巷一一零號,2630,印刷電路板製造業,214.1005,169.0450,4.7084,36.0971,406.4500,0.0000,0.00,64869.1422,65699.543,依法申報,是,,
111,04401392,華通電腦股份有限公司一廠,0001,H4601129,桃園市,蘆竹區,新莊里大新路八一四巷九一號,2630,印刷電路板製造業,1629.6878,241.7750,6.7646,23.6059,172.9260,0.0000,0.00,44281.9419,46356.701,依法申報,是,,
111,04388145,台灣康寧顯示玻璃股份有限公司,0003,B2311535,台中市,西屯區,科園路1號,2399,未分類其他非金屬礦物製品製造業,38644.5002,251.2200,16.8370,1229.8000,0.0000,0.0000,0.00,333933.3184,374075.676,依法申報,是,,
111,04388145,台灣康寧顯示玻璃股份有限公司南科分公司台南廠,0002,R9001702,台南市,善化區,環東路二段33號,2311,平板玻璃及其製品製造業,4376.3638,93.1425,2.0264,283.5867,0.0000,0.0000,0.00,69483.7440,74238.863,依法申報,是,,
111,04380087,合眾紙業股份有限公司林內廠,0001,P5500191,雲林縣,林內鄉,雲林縣林內鄉林中村瑞農六五號,1512,紙張製造業,34260.5561,59.6075,153.2912,1.5502,0.0000,0.0000,0.00,26703.8531,61178.858,依法申報,是,,
111,04312878,和益化學工業股份有限公司,0001,s1900283,高雄市,林園區,石化三路9號,1810,基本化學材料製造業,61986.7768,31.9375,20.5918,19.4480,0.0000,0.0000,0.00,19646.1041,81704.858,依法申報,是,,
111,75688109,漢泰鋼鐵廠股份有限公司,0001,E5601080,高雄市,小港區,市全路4號,2499,鋼鐵軋延及擠型業,30047.7185,25.0650,18.3866,3.8268,0.0000,0.0000,0.00,13506.3720,43601.369,依法申報,是,,
111,75470524,海光企業股份有限公司嘉興鋼鐵廠,0002,E5602952,高雄市,小港區,高雄市小港區嘉興街5號,2413,鋼鐵軋延及擠型業,27879.2970,28.7925,15.1086,0.0000,0.0000,0.0000,0.00,31208.7600,59131.958,依法申報,是,,
111,75470524,海光企業股份有限公司,0001,E5600501,高雄市,小港區,高雄市小港區沿海二路12號,2411,鋼鐵冶鍊業,29560.6881,31.9900,16.4496,0.0000,0.0000,0.0000,0.00,108229.2588,137838.387,依法申報,是,,
111,75460005,唐榮鐵工廠股份有限公司,0001,E5601197,高雄市,小港區,高雄市小港區沿海二路4號,2411,鋼鐵冶鍊業,35106.4711,180.1225,18.3270,0.0000,0.0000,0.0000,0.00,68059.4682,103364.389,依法申報,是,,
111,75370905,南亞塑膠工業股份有限公司仁武廠,9504,S2201118,高雄市,仁武區,竹後里水管路一○一號,2201,塑膠皮、板、管材製造業,942.9679,33.5050,0.8344,13.2219,0.0000,0.0000,0.00,30316.2102,31306.739,依法申報,是,,
111,75370905,南亞塑膠工業股份有限公司新港廠,9501,Q7100272,嘉義縣,新港鄉,嘉義縣新港鄉中洋村中洋工業區2號,2201,塑膠皮、板、管材製造業,40778.9401,329.2675,23.6016,2433.8838,0.0000,0.0000,0.00,728810.5725,772376.266,依法申報,是,,
